SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Glass Transition Temperature (°„C),¿¥‘¥
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC([*])N1CCCC1=O,[Na+].[Cl-],,,147,10.1088_0957-4484_24_27_275603_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(O)CCCCCCCCCCCCCCCCC,,,,104,10.1039_c5ra12671a_part_2.txt_∂Œ1_Material1
[*]C(C(OC(CO[*])=O)C)=O,C=C([CH3])C(=O)O[CH3],,,,43.4,10.4322_polimeros.2013.097_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(C)C[*],C[N+](CCO)(CCO)[3H],,,31,10.1016_j.matdes.2010.05.024_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,71.8,10.1080_00222348.2017.1360684_part_2.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[H][O-],,,,38.5,10.1016_j.compositesb.2015.04.040_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,O=[Ti]=O,,,,87,10.1007_s10118-013-1219-6_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,,,63.2,10.1007_s10570-019-02931-x_part_3.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,OCC1OC(C(C(C1O[*])O)O)[*],,,,40,10.11113_jt.v75.5338_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,NCCC[Si](OCC)(OCC)OCC,,,101,10.1002_vnl.21491_part_2.txt_∂Œ1_Material1
C/C(C[*])=C/C[*],[*]C(CCCCCO[*])=O,,,,29.77,10.4028_www.scientific.net_kem.798.337_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,98.37,10.1007_s13726-021-00964-3_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],N(CC)(CC)CC,,,,134,10.1166_jnn.2017.14809_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]OCC[*],,,,62,10.1016_j.ijbiomac.2016.11.003_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,,73,10.1002_app.49134_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]CCCC(C(O)=O)[*],[*]CCCC(C(O)=O)[*],,,47.5,10.1002_vnl.21485_part_1.txt_∂Œ1_Material1
[*]CCC1C([*])C2CCC1C2,O=C(O)C([*])C[*],,,,78,10.1016_j.snb.2011.05.012_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,91.66,10.1177_0021998316665239_part_1.txt_∂Œ1_Material2
C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,O=[Si]=O,,,87,10.1061_(asce)cc.1943-5614.0000317_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C([H])([H])C(O)([H])[*],,,,58.1,10.4028_www.scientific.net_kem.773.10_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]OCC[*],,,,36.41,10.1177_0885328216680152_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,,,,105,10.1007_s00170-018-2830-z_part_1.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,O=[Ti]=O,,,50,10.1002_smll.201903948_part_8.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,55,10.1080_15583724.2020.1850475_part_7.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(O)C([*])C[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C(O)C([*])C[*],85,10.3390_pr9050730_part_5.txt_∂Œ1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],O=C([O-])[O-].[Ca+2],,56.73,10.4028_www.scientific.net_amr.410.59_part_1.txt_∂Œ1_Material2
O=C([*])CCCCCN[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,45.7,10.3390_nano10071367_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,,,149,10.1002_app.51500_part_2.txt_∂Œ1_Material4
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,60,10.1016_j.polymertesting.2014.07.004_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,O=C([*])C(C)O[*],,,,84,10.3389_fmats.2020.00007_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,56.7,10.1016_j.compositesb.2013.08.003_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,,,,108.95,10.3390_polym11030491_part_2.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C=NCCCCCCN=C=O,,,,55,10.1007_s10965-020-02170-w_part_1.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],,,,47.7,10.1002_pc.21100_part_2.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,[*]C(CCCCCO[*])=O,[Fe]12O[Fe]O[Fe](O2)O1,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,65.4,10.1016_j.addma.2021.102146_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,62.8,10.1016_j.carbpol.2016.03.082_part_3.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,,,50,10.1002_app.46254_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,C=C(C(OCC1CO1)=O)C,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,55,10.1016_j.polymer.2020.122591_part_8.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,,150,10.1515_adms-2016-0019_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Si]=O,,,75,10.1016_j.carbon.2013.02.055_part_2.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,[*]NC(C(O)=O)CCC([*])=O,,,,58,10.1097_scs.0b013e3181c50e9c_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,[*]CCC(CCCCCC)C[*],,,61,10.3389_fmats.2020.00130_part_2.txt_∂Œ1_Material1
[*]CC(C1=CC=CC=C1)C/C=C/C[*],C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,,,82,10.1021_ma400152g_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,COC(C(C[*])([*])C)=O,[*]CC(C1=CC=CC=C1)[*],,,81.8,10.1016_j.polymer.2015.12.020_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC(C(CC(O)=O)(CC(O)=O)O)=O,,,,85,10.1111_cote.12533_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C([H])([H])C(O)([H])[*],,,,87,10.1177_0021998314534704_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]NC(C)C(N1CCCC1C([*])=O)=O,,,,83.65,10.1007_s11483-021-09678-8_part_2.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,OCC(O)CO,[H]O[H],50,10.1002_star.201100024_part_3.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,100,10.1080_09276440.2015.1018716_part_2.txt_∂Œ1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,,,,132,10.1002_app.35517_part_2.txt_∂Œ1_Material1
O=C(O)C([*])C[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[Al],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[C],76.77,10.4236_jsemat.2018.84009_OA_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],COC(C(C[*])([*])C)=O,,,,138,10.1166_jnn.2011.4879_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,C=C([CH3])C(=O)O[CH3],,,,116.85000000000002,10.1016_j.polymer.2020.122946_part_2.txt_∂Œ1_Material1
FC(F)([*])C([H])([*])[H],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C[Si](C)(C[*])O[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,,55,10.1002_adfm.201903732_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],[*]OCC[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,55,10.1016_j.engreg.2020.08.002_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C([*])C(C)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,60.7,10.1002_pen.24900_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,[*]NC(C(O)=O)CCC([*])=O,O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[OH-],,50,10.3390_ijms16010564_part_3.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C([H])([H])C(O)([H])[*],Cl[Ca]Cl,OCC(O)CO,,64,10.1002_pc.23517_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,127,10.1002_mame.200900263_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC[*],C[N+](CCO)(CCO)[3H],,,55.6,10.1002_app.40751_part_2.txt_∂Œ1_Material1
[*]O[C@H](C)CC([*])=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,OCCCCO,,,38.2,10.1007_s10965-020-02345-5_part_2.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,70,10.1016_j.compositesb.2017.01.054_part_2.txt_∂Œ1_Material1
O=C(CCCCC(NCCCCCCCCCCN[*])=O)[*],O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,,50,10.3390_polym12071503_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,69,10.1177_0307174x1504200709_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CC[*],[Li]Cl,OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],,77,10.1002_pc.25070_part_1.txt_∂Œ1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,O=C([*])C(C)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,,93,10.1021_acsomega.8b00823_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,85,10.1021_acs.iecr.3c02376_OA_part_6.txt_∂Œ1_Material1
[*]C(C)C[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,,115,10.1002_pen.23243_part_1.txt_∂Œ1_Material1
[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,C[N+](CCO)(CCO)[3H],C[N+](CCO)(CCO)[3H],,,37.48,10.1016_j.msea.2009.08.026_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,90.6,10.1016_j.foodhyd.2020.106466_part_1.txt_∂Œ1_Material1
OP(O)(O)=O,[*]OCC[*],O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,70,10.1002_mame.201400141_part_2.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,66.6,10.1002_star.201500346_part_1.txt_∂Œ1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,[Cu]=O,,,94.2,10.1016_j.polymertesting.2020.106380_part_6.txt_∂Œ1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC[*],,,,66,10.1002_pc.25839_part_1.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,54,10.1002_app.45800_part_1.txt_∂Œ1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Ti]=O,,,45,10.4028_www.scientific.net_kem.773.3_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],OP(O)(O)=O,[*]C(C)C[*],C[N+](CCO)(CCO)[3H],,116.9,10.1007_s10965-017-1289-1_part_2.txt_∂Œ1_Material2
[*]C(C=C1)=CC=C1S[*],[H][Si]([H])([H])[H],,,,90,10.1002_pc.23256_part_1.txt_∂Œ1_Material1
N#CC(C1=CC=CC=N1)C1=CC=CC=C1,[*]C([H])([H])C(O)([H])[*],,,,60.5,10.1021_ie400521a_part_1.txt_∂Œ1_Material1
[*]NCCCCCCCCCCCC([*])=O,C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,,43.43,10.1016_j.matdes.2017.11.027_part_4.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,OCC(O)CO,,55,10.1016_j.carbpol.2019.05.042_part_1.txt_∂Œ1_Material1
[*]CC[*],C/C(C[*])=C/C[*],,,,60,10.1016_j.polymertesting.2011.06.006_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,,43.7,10.1016_j.compositesb.2013.04.065_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C2C=C(C=CC2=C1)C([*])=O)OCCO[*],,,,,125,10.1016_j.tsf.2011.02.029_part_1.txt_∂Œ1_Material2
[*]CC([*])Cl,[H][O-],,,,85,10.1016_j.reactfunctpolym.2019.104363_part_2.txt_∂Œ1_Material2
O=C([*])C1=CC=C2C=C(C=CC2=C1)OC(C3=CC=C(C=C3)O[*])=O,[*]C(C=C1)=CC=C1S[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O1C(=O)C=CC1=O,84,10.1016_j.compscitech.2018.10.001_part_2.txt_∂Œ1_Material2
OP(O)(O)=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,,,110.4,10.3390_ma12244043_part_2.txt_∂Œ1_Material2
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[H][Si]([H])([H])[H],,62,10.1002_pc.22145_part_2.txt_∂Œ1_Material5
CC(NC1C([C@@H](C(O[C@H]1O[*])CO)O[C@@H]2OC([C@H]([C@@H](C2NC(C)=O)O)[*])CO)O)=O,[Fe]12O[Fe]O[Fe](O2)O1,,,,73.5,10.1002_pc.24688_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,,,,,27,10.21660_2022.96.3491_OA_part_1.txt_∂Œ1_Material1
[*]CCC(CCCC(CCCC(C[*])C)C)C,O=[Si]=O,,,,125,10.1177_0954008315600228_part_2.txt_∂Œ1_Material4
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC[*],[H]O[H],,,70,10.1177_0021998313476561_part_1.txt_∂Œ1_Material1
[*]OCC[*],O=[Si]=O,,,,59,10.1016_j.actbio.2013.01.034_part_1.txt_∂Œ1_Material2
[*]C(C(O[*])C)=O,[*]OCC[*],,,,43,10.1166_jnn.2017.12717_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]CCC(CCCCCC)C[*],,,,50,10.1016_j.compscitech.2010.07.023_part_2.txt_∂Œ1_Material3
O=C([*])C(C)O[*],O=C([*])C(C)O[*],C=C(C(OCC1CO1)=O)C,,,60,10.1016_j.jmst.2017.03.004_part_2.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC[*],,,,152,10.1021_ie303382g_part_2.txt_∂Œ1_Material1
[*]C([H])([H])C(O)([H])[*],O=[Ti]=O,,,,40,10.1007_s10965-015-0657-y_part_2.txt_∂Œ1_Material1
