SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Melting Temperature (°„C),¿¥‘¥
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,,,,155.8,10.1080_14680629.2020.1828154_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,220,10.1080_02533839.2019.1613929_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,165,10.1007_s00289-010-0288-8_part_1.txt_∂Œ1_Material1
[*]CC[*],O=[Ti]=O,O=[Al]O[Al]=O,,,132,10.1177_0731684413493340_part_2.txt_∂Œ1_Material1
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,240,10.1002_app.32616_part_1.txt_∂Œ1_Material1
NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,O=C1C([*])C(CC[*])C(O1)=O,[H][O-],,,165,10.1007_s10924-018-1296-2_part_1.txt_∂Œ1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,,,,122,10.1177_0892705720962170_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,,,,140,10.4028_www.scientific.net_kem.798.322_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,C[N+](CCO)(CCO)[3H],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,210,10.1016_j.matdes.2011.03.017_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,O1C(=O)C=CC1=O,,165,10.1002_app.33715_part_1.txt_∂Œ1_Material1
[*]CCCCO[*],CC1=CC=C(C=C1N=C=O)N=C=O,,,,120,10.1007_s10965-012-0057-5_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]C(C)C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,165,10.1002_cjoc.201400828_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,165,10.1080_15583724.2015.1019136_part_6.txt_∂Œ1_Material1
[*]CC[*],OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC(O)CO,,,110,10.1016_j.carbpol.2013.10.052_part_1.txt_∂Œ1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,,,,109.14,10.1016_j.foodhyd.2019.105201_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=[Si]=O,[H][Si]([H])([H])[H],,167.1,10.1002_app.44382_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,87.6,10.1016_j.indcrop.2021.113525_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],[*]C(C)C[*],,,,140,10.1016_j.matdes.2010.05.024_part_2.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,[H][Si]([H])([H])[H],,157,10.1016_j.compositesb.2014.10.010_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,,,220.1,10.1002_app.33662_part_2.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,,,,,46,10.1002_app.32929_part_1.txt_∂Œ1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]CC([*])Cl,,,,111.85000000000002,10.1007_s11003-017-9990-0_part_1.txt_∂Œ1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,[*]OCC[*],[Na+].[Cl-],,,112,10.1016_j.msec.2019.110105_part_1.txt_∂Œ1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,O=C([O-])[O-].[Ca+2],,,144.99,10.3390_polym11111857_part_3.txt_∂Œ1_Material3
[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,225,10.1016_j.chroma.2014.12.042_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,,,,154,10.1002_app.40753_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,,,,64,10.1016_j.bioactmat.2020.02.006_part_1.txt_∂Œ1_Material1
[*]C(CCCCCO[*])=O,C[N+](CCO)(CCO)[3H],,,,45,10.4028_www.scientific.net_kem.673.127_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCCCCCCC(NCCCCCCCCCCN[*])=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,O=C([O-])[O-].[Ca+2],,,250,10.1007_s12221-017-1074-0_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,,,150,10.1002_app.48278_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,OP(O)(O)=O,C[N+](CCO)(CCO)[3H],[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,,169,10.1002_pi.4700_part_1.txt_∂Œ1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],,,,170,10.1080_09593330.2018.1461247_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[H][Si]([H])([H])[H],,,,266,10.4236_msce.2018.67009_OA_part_1.txt_∂Œ1_Material1
OCC1OC(C(C(C1O)O[*])O)OC2C(C(C(OC2COS(=O)(O)=O)[*])NC(C)=O)O,[*]C([H])([H])C(O)([H])[*],OCC(O)CO,,,260,10.1007_s12221-015-0537-4_part_1.txt_∂Œ1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,,,200,10.1016_j.conbuildmat.2021.123565_part_1.txt_∂Œ1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,,,116.1,10.1021_ie501504b_part_1.txt_∂Œ1_Material1
[*]CC[*],[*]O[Si](C)(C)[*],,,,126,10.1002_pat.3710_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],N#CC(C1=CC=CC=N1)C1=CC=CC=C1,,,,163.1,10.1002_app.39151_part_2.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,,265.28,10.1016_j.compositesb.2019.01.014_part_2.txt_∂Œ1_Material1
[*]CCCC([*])OC(C)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,,60,10.1016_j.compscitech.2020.108609_part_1.txt_∂Œ1_Material1
[*]C([C@H](C)OC([C@H](C)O[*])=O)=O,OP(O)(O)=O,[*]C1=NC2=CC3=C(C=C2O1)OC(C4=CC=C(C=C4)[*])=N3,,,167,10.1002_pi.4700_part_1.txt_∂Œ1_Material2
C[Si](C)(C[*])O[*],O=[Si]=O,O=[Si]=O,O=[Si]=O,,80,10.1002_app.45544_part_2.txt_∂Œ1_Material1
[*]CC[*],[*]CC([*])Cl,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,115,10.1515_polyeng-2012-0004_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],[Al],,,165,10.3390_polym9110615_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],COC(C(C[*])([*])C)=O,COC(C(C[*])([*])C)=O,C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,,215,10.1002_app.33662_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC(C(CC(O)=O)(CC(O)=O)O)=O,OCC(O)CO,O=[Ti]=O,,120,10.1002_pc.24598_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[H][O-],,,,160,10.1080_2374068x.2018.1468972_part_1.txt_∂Œ1_Material1
O=C([*])CCCCCN[*],,,,,220,10.1016_j.polymertesting.2018.06.018_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,O=C([O-])[O-].[Ca+2],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,162.87,10.4028_www.scientific.net_kem.594-595.770_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([O-])[O-].[Ca+2],[H][Si]([H])([H])[H],,,162.42,10.1007_s12221-017-7276-7_part_1.txt_∂Œ1_Material3
[*]C(C)C[*],[*]CCC(CCCC(CCCC(C[*])C)C)C,O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,,,163,10.1002_pi.4778_part_1.txt_∂Œ1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OC(C(CC(O)=O)(CC(O)=O)O)=O,O1C(=O)C=CC1=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,150.4,10.1007_s10924-014-0666-7_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Ti]=O,[*]C(C)C[*],,165,10.1177_0021998316658536_part_1.txt_∂Œ1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,[*]C(C=C1)=CC=C1S[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Si]=O,260,10.1111_ffe.12363_part_1.txt_∂Œ1_Material1
[*]C(C)C[*],[*]CC[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,169.1,10.1016_j.compscitech.2020.108395_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,,265,10.1016_j.polymdegradstab.2015.09.021_part_5.txt_∂Œ1_Material1
[*]C(C=C1)=CC=C1S[*],[*]OCCCCOC(CCC([*])=O)=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,,104.3,10.1021_acs.iecr.5b00637_part_1.txt_∂Œ1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(CCCCCO[*])=O,[*]CCCCO[*],CC(C(=O)O)(CO)CO,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],110,10.1002_macp.201400373_part_2.txt_∂Œ1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]OCC[*],Cl[Ca]Cl,,220,10.1007_s12221-020-9445-3_part_1.txt_∂Œ1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],O=C([*])CCCCCN[*],,,255,10.1016_j.compositesb.2021.108928_part_1.txt_∂Œ1_Material1
